room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6132037,9692531,Entire home/apt,,4,13,4.5,4,1,175,3,21.280037,-157.709275,42:43.7
4006905,20316135,Entire home/apt,,4,21,5,,1,194,1,21.274337,-157.822042,42:24.7
3831359,461037,Entire home/apt,,3,1,5,,9,1765,5,21.419539,-157.791513,42:19.3
6541796,34212558,Entire home/apt,,2,14,4,4,1,149,3,21.590744,-157.890569,42:15.4
10394638,8058149,Entire home/apt,,4,3,4.5,3,1,95,2,21.283109,-157.829001,42:12.8
1038689,5256548,Entire home/apt,,4,50,5,4,1,149,3,21.280534,-157.826744,42:04.8
7696075,26521212,Entire home/apt,,4,0,,4,1,179,7,21.278306,-157.831612,42:00.4
7959998,740644,Entire home/apt,,4,27,5,2,0,130,1,21.286157,-157.833639,41:56.7
1369898,7429201,Entire home/apt,,2,17,5,,3,396,3,21.666894,-158.049691,41:50.6
6941077,34149865,Private room,,4,32,5,2,1,69,1,21.267916,-157.790279,41:36.2
9578737,25445257,Entire home/apt,,4,0,,4,1,157,1,21.274736,-157.821604,41:34.1
2866860,9337324,Entire home/apt,,4,36,4.5,3,0,95,2,21.285069,-157.831025,41:26.1
9140993,47435444,Entire home/apt,,2,0,,,2,270,3,21.69997,-158.00587,41:20.8
11076145,9992408,Private room,,6,1,5,3,1,70,2,21.306431,-157.846433,41:18.4
8849269,33518620,Entire home/apt,,4,0,,4,0,129,1,21.280711,-157.824742,41:16.3
10179196,52129182,Entire home/apt,,3,0,,,3,580,7,21.418795,-157.745798,41:13.0
1500164,8016823,Entire home/apt,,4,28,5,4,1,150,7,21.275614,-157.821797,41:07.5
4209885,12304286,Private room,,6,29,4.5,2,1,75,3,21.331515,-157.851558,41:00.9
4498912,22942005,Private room,,4,17,4.5,2,1,59,1,21.276969,-157.793173,40:46.3
10995328,56263438,Private room,,1,0,,2,1,250,1,21.316418,-158.02311,40:42.6
9885244,50150452,Entire home/apt,,3,2,5,2,0,125,4,21.335868,-157.699871,40:29.1
6927549,28577918,Entire home/apt,,4,23,5,2,0,120,3,21.301134,-157.701891,40:14.5
8486945,10306818,Private room,,2,15,5,2,1,75,3,21.576662,-158.105119,40:11.6
6187808,31181927,Private room,,5,6,4,2,1,50,1,21.302041,-157.785066,40:06.2
934944,3913149,Entire home/apt,,5,28,4.5,2,1,98,6,21.287831,-157.811708,39:59.2
4339895,13526139,Entire home/apt,,4,17,5,,4,495,3,21.285472,-157.708838,39:56.2
5640015,29228087,Private room,,7,23,4.5,2,1,80,1,21.318996,-157.889861,39:53.6
9094607,31824852,Entire home/apt,,4,11,5,,2,224,30,21.294041,-157.777202,39:40.5
6665511,33380091,Entire home/apt,,4,0,,2,1,190,1,21.273708,-157.820702,39:37.6
7595932,6122400,Entire home/apt,,4,3,4.5,4,1,99,14,21.281557,-157.825249,39:34.1
10680453,33694619,Private room,,5,1,3,2,1,65,3,21.291836,-157.835762,39:28.6
6592900,8907432,Entire home/apt,,4,5,4,,2,455,1,21.27494,-157.824995,39:26.3
